 year   T_global   T_land   T_ocean   P_global   P_land   P_ocean
  1914.0   286.45381585870655   281.4881934590225   288.9739107708638   3.55123814632344e-05   2.714431225958195e-05   3.975924659459151e-05 
  1915.0   286.52079428034597   281.57427177955424   289.0311958340182   3.547048674378971e-05   2.629040090623378e-05   4.012945711049808e-05 
  1916.0   286.63954516446404   281.82336477213585   289.08379700759855   3.548711110056712e-05   2.6818453109362506e-05   3.988652755644902e-05 
  1917.0   286.5631749926302   281.68239057830914   289.0402139174284   3.554935498357583e-05   2.7177287814190535e-05   3.979824911599089e-05 
  1918.0   286.5021220864437   281.5735291665912   289.00342422778357   3.5569288773326924e-05   2.7536534887397922e-05   3.964597857556175e-05 
  1919.0   286.5761029638344   281.64555622557793   289.07839668436065   3.562062277313481e-05   2.7094029159117343e-05   3.99479403690287e-05 
  1920.0   286.4886838006868   281.4663243979487   289.03757321657764   3.550101786560259e-05   2.728706287360277e-05   3.966966874516689e-05 
  1921.0   286.5206607917847   281.4859418654228   289.07582276931913   3.563743882981498e-05   2.735727820025228e-05   3.983968962434443e-05 
  1922.0   286.4795939996112   281.4491835297061   289.03256939944765   3.5530042184660543e-05   2.7194214014271583e-05   3.976054472189549e-05 
  1923.0   286.49673393350844   281.6241719453506   288.96959990823666   3.566455210755389e-05   2.7361360752910473e-05   3.987849118774574e-05 
  1924.0   286.3617934386129   281.228495548163   288.96698506517174   3.541191685064014e-05   2.7075127965778847e-05   3.9642906958507493e-05 
  1925.0   286.4914934513285   281.5005439040371   289.02444210279316   3.540274339881301e-05   2.6321357177199276e-05   4.0011622884671536e-05 
  1926.0   286.5092485514757   281.5187039535035   289.041991687773   3.566133781649453e-05   2.7706110182819637e-05   3.969868239709579e-05 
  1927.0   286.43609569459977   281.5039828219102   288.93918424145375   3.5459057947972986e-05   2.752467752952783e-05   3.948582239242929e-05 
  1928.0   286.44079242609547   281.59927393823557   288.89790356470064   3.5433798762098264e-05   2.7107970123543814e-05   3.965922645326725e-05 
  1929.0   286.37004914414206   281.3148185614066   288.93562095889456   3.542210051449708e-05   2.7838432733822496e-05   3.927087536108724e-05 
  1930.0   286.582168282554   281.65197670183977   289.08428175765613   3.560917278540192e-05   2.693252378399003e-05   4.00126447458199e-05 
  1931.0   286.718506879658   281.8945996066055   289.16668017940606   3.582358052085026e-05   2.7361423158892286e-05   4.0118196179725355e-05 
  1932.0   286.5147719126934   281.7106393707655   288.9529093709528   3.567498432494923e-05   2.8709824673884966e-05   3.920986112108393e-05 
  1933.0   286.4544290551005   281.44555345710245   288.99647532727494   3.543205659168686e-05   2.7679048002602287e-05   3.9366773315315784e-05 
  1934.0   286.51018785129776   281.4900202512719   289.0579649089748   3.545767245396699e-05   2.6295151127403806e-05   4.010772868439504e-05 
  1935.0   286.57077478804445   281.57510976772585   289.1061165815219   3.57289781401952e-05   2.712590135973887e-05   4.0095111582944566e-05 
  1936.0   286.6099030683559   281.75602513102405   289.0732867309719   3.568092505315334e-05   2.770556430355295e-05   3.972848735852822e-05 
  1937.0   286.57309430140975   281.65944633048673   289.0668117561327   3.5399561504547114e-05   2.6662109932312914e-05   3.983389127835523e-05 
  1938.0   286.61624254647813   281.7293968912164   289.09635760176434   3.5594220684780934e-05   2.7335199453251036e-05   3.9785743057948355e-05 
  1939.0   286.6580209868282   281.68403630983994   289.1823598246795   3.5624804191174024e-05   2.6841624148002944e-05   4.008234154656468e-05 
  1940.0   286.67047922284144   281.712509189375   289.1866904951207   3.577215799708883e-05   2.743917929164771e-05   4.0001214407023025e-05 
  1941.0   286.5881887593825   281.6168775826615   289.1111707734805   3.563770284390569e-05   2.70751997948685e-05   3.998324477850432e-05 
  1942.0   286.6313658180948   281.6010550762592   289.18429060510164   3.563096178359418e-05   2.7554632363032934e-05   3.972976653422465e-05 
  1943.0   286.58509666039964   281.68786756471656   289.0704813985717   3.565038238579136e-05   2.7581967858576974e-05   3.974517026182924e-05 
  1944.0   286.6393171976941   281.7221118556452   289.1348400480257   3.550995244599262e-05   2.7388877989955058e-05   3.9631465676481595e-05 
  1945.0   286.72650740178653   281.7446474741589   289.25484299522464   3.5724507259141354e-05   2.6936224544668894e-05   4.0184634262908376e-05 
  1946.0   286.8530153220283   281.95843743568065   289.33705454928145   3.594520186416405e-05   2.755719522823332e-05   4.020218540920667e-05 
  1947.0   286.658731957038   281.70602970395413   289.1722697867007   3.5832487127597664e-05   2.863953813275767e-05   3.948296892147229e-05 
  1948.0   286.54190249367895   281.55640750176076   289.07208291265675   3.5655040883103004e-05   2.782752884017017e-05   3.962756873288465e-05 
  1949.0   286.4711307214501   281.4970119036496   288.99553763688584   3.5507224673450245e-05   2.778929971216784e-05   3.9424136162446384e-05 
  1950.0   286.54373699899355   281.48986378558743   289.10861993745516   3.5488828233342156e-05   2.7000494120262704e-05   3.979672881241622e-05 
  1951.0   286.8103744301521   281.99669931181495   289.25335482577594   3.5779262030896646e-05   2.6784005699834034e-05   4.034442987670451e-05 
